era,fear_structural,fear_conflict,fear_affective,fear_breakdown
classical/romantic gothic,0.03910996770485522,0.06404291422628497,0.07126826865181454,0.017078110460342657
high gothic,0.041105714378850605,0.05887146722300095,0.06395671023894123,0.016298855820321412
victorian gothic,0.026263938023375576,0.047512426671443286,0.05214723926380368,0.011083247503470511
modern gothic,0.022509923013399397,0.040890806894163405,0.04787021497642452,0.008098244492394576
