term_str,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
been,0.004831312,-0.29246104,-0.34842974,-0.48662886,0.33087164,-0.2618289,-0.15010369,0.5362625,0.37290737,0.5564671,-0.31498823,-0.046077847,0.29458404,0.586244,-0.7491697,-0.41167095,0.80016875,0.48831296,0.92316186,-0.06313528,0.58376735,-0.39160442,-0.6812702,-0.35202485,-0.2672738,-0.17956671,-0.13399287,0.14040278,-0.8511448,-0.6542387,1.3497301,0.17893791,0.28618175,-0.055077393,-0.34953448,0.4841334,-0.35489768,0.29718527,-0.15833648,-0.17501272,-0.15259823,-0.37470302,-0.45501715,-0.15029956,-0.120680206,0.29901826,-0.210456,-0.46071616,-0.72039735,1.1611739,0.1346477,-0.23986259,-0.35255584,-0.22203411,-0.02637045,0.20285209,-0.51444334,-0.6578955,-0.6980381,-0.54591656,0.044480007,-0.41111004,0.09286851,0.16561829,-0.40280378,0.1421357,0.0070964736,-0.19650926,0.3093498,0.01439986,0.5087801,0.44413668,-0.21601917,0.04484201,0.2633497,0.014903508,-0.39026034,0.1043733,0.10754603,0.21356492,-0.8627556,0.3545782,-1.0281326,0.328874,-0.35803118,0.008999397,0.4179271,0.042635392,0.2856163,0.2259762,-0.067814186,0.27191347,0.20362394,-0.00434473,-0.018281003,0.42567378,-0.11960213,-0.21603155,-0.26041198,0.18543708,-0.21241978,-0.25725782,0.5242152,0.17351376,-0.28091913,0.06408868,0.124012426,0.2780207,-0.5303354,0.016080715,0.036390863,-0.45039263,0.17042875,0.18016554,-0.4982828,0.30076638,-0.21392888,-0.073569454,-0.17722486,0.3277053,0.33817557,-0.026424646,-0.000625573,-0.21524741,0.13881454,0.25154534,0.2853049,-0.27451205,0.050135978,-0.24014373,-0.51659805,0.31394562,0.30584994,0.16035934,0.36292937,-0.044069964,-0.16573109,0.4314232,0.23207174,0.11063594,0.014428994,0.55779785,-0.36396533,-0.005231938,0.5392274,-0.34700722,-0.6915717,0.17058,-0.18810539,0.36413425,0.50799096,0.27279449,0.07720727,-0.43317413,-0.59307486,0.2961437,0.52057314,0.63446444,0.021715771,0.0469199,0.069163896,0.110343345,0.10171742,-0.10044995,-0.51384217,-0.049391493,0.6767285,0.18269445,0.072520986,-0.37637556,-0.24539475,-0.34941718,0.104161486,-0.30950984,0.47107223,0.3289263,0.1375039,0.12054402,-0.54518265,0.37556583,0.18096142,0.41438714,0.080867164,-0.30735257,-0.21523324,-0.011734874,-0.0096206125,0.15082462,-0.20828469,-0.3261082,0.34262598,0.06201845,0.38725373,0.3458372,-0.17686296,0.378126,-0.5120414,-0.069734074,0.3879899,0.28948322
do,-0.041913185,-0.20353355,0.10382625,0.022247117,0.44250792,-0.1996341,0.1057931,0.6079617,0.08136717,0.14093877,-0.3473716,-0.5326745,-0.13629702,0.3017406,0.13436662,-0.096463695,-0.5765076,0.0208778,-0.16251764,-0.16810521,-0.27787745,-0.40669507,-0.21034278,-0.19590794,-0.23670645,-0.37092742,-0.15633115,-0.23693624,-0.508124,-0.029746853,0.66366625,-0.15261532,0.47564298,0.37020823,-0.0436911,0.35656652,0.6814808,0.122792035,0.03372487,-0.39039406,0.06286354,0.017780831,-0.21004315,0.016427105,0.6298168,-0.17992651,0.45638105,-0.3357105,0.2656921,0.08248429,0.2632265,-0.12514967,0.18415444,0.1635699,0.58559024,0.11332742,0.071320966,0.00087455555,-0.34361517,-0.0442327,-0.20529896,0.041560143,0.05268799,-0.28816527,-0.19060461,-0.26180115,0.47002065,0.4033357,-0.38791716,0.64644235,0.18408906,-0.020367503,0.37796673,0.38458768,0.4098102,-0.024258396,0.28663054,-0.67384315,-0.77741885,-0.04355953,-0.5465039,-0.6115063,-0.8045075,0.80949074,-0.49031568,0.28467232,0.24785833,0.4273586,0.05766356,0.19196348,0.20375913,0.5711988,0.83752555,0.8064292,0.8778943,0.1731742,-0.25411242,0.25458542,-0.024281565,-0.13082595,-0.8475508,0.7496939,0.16295968,-0.4379415,-0.39361703,-0.27559277,-0.103522345,0.1486447,-0.0055598784,-0.1969544,-0.38956854,-0.7379847,0.13162729,-0.28234652,-0.028223708,-0.2428258,0.14325374,-0.46580163,0.4222963,-0.0510351,-0.09005702,0.38892043,-0.119485594,-0.021753049,-0.13730195,-0.10705452,-0.060109746,0.09542992,0.28734455,-0.62772316,0.09126098,-0.028774686,0.17664243,0.2574292,0.1686025,0.04258444,-0.2796772,-0.1018839,-0.30292773,-0.31590357,0.16787758,-0.44737726,0.105191015,-0.46104848,-0.3879457,-0.37155208,-0.31595302,0.32859364,-0.12698252,0.29284588,0.1351678,-0.1679865,-0.040719964,0.3154929,-0.07191176,0.056960646,-0.69511527,-0.36138374,-0.48704642,0.10475421,-0.18568555,0.050220463,0.11787311,-0.19028662,0.15598896,-0.20068383,-0.28868106,-0.18321107,0.054269448,-0.25318983,0.15845612,0.118818365,-0.15603487,-0.5175319,0.22776546,-0.41177398,0.040269975,0.21328507,0.52391297,0.32481074,0.33890215,-0.11346567,-0.4669099,0.112877995,0.2373641,0.0853626,-0.0017188733,0.109110266,-0.10204462,-0.0020994341,-0.13284071,-0.23941904,-0.14593199,-0.30256158,0.2693806,-0.13410345,-0.06718425,-0.13497704,0.20070389,0.05761431
s,0.2714945,-0.022328174,-0.3521721,0.36097035,-0.14664683,0.07087457,-0.49648494,0.71161073,0.056871295,-0.002500446,0.09997659,-0.27714866,0.59458137,0.37414184,0.054101847,0.101943254,0.055823673,0.2559133,-0.20483778,-0.26321012,0.23294432,-0.115329504,0.2716034,0.15277259,0.064530596,-0.123091206,0.022238346,-0.10055637,-0.15962009,0.1595387,-0.48328552,-0.3450764,-0.09255692,-0.13874191,0.2627312,-0.12233563,0.029996421,0.4662816,-0.05544077,0.36893758,0.17669798,0.23513117,0.34475058,0.14194135,-0.17882927,0.039155055,-0.13894656,0.51247966,0.43310153,0.22066839,-0.40890735,0.27125,-0.6048169,-0.13712215,-0.32396778,-0.07627752,0.16387175,0.06345873,0.5529994,-0.12743002,0.39578646,0.4425487,-0.28978834,-0.1482121,0.03243096,0.5684209,-0.12857006,0.28580046,0.027418504,0.19016664,0.76153827,0.054713245,0.4125991,-0.14206666,0.36888224,-0.033515677,0.13902456,0.2885498,-0.14354038,0.19179617,0.02930058,0.032151967,0.43790108,-0.4846657,0.44181818,-0.022126121,-0.3676405,-0.0062300237,0.028721903,-0.020748535,0.0006147277,0.326698,0.20062257,0.16943091,0.07218796,0.027562693,0.2536318,0.038503062,-0.11839231,0.020292314,0.53971636,0.56021196,0.21703114,0.50557315,-0.25903687,-0.31834972,0.5767781,0.10090259,0.12795371,-0.10980729,0.12959686,-0.3673084,0.65791136,0.04451615,-0.006858351,-0.06700058,0.30539483,0.07929207,0.09443835,0.10524618,-0.38556775,0.10778127,-0.017371273,0.006944044,-0.23813574,-0.12553295,-0.41953412,0.046093393,-0.55485326,0.5252213,0.38611132,-0.3839956,0.20644602,-0.7749114,-0.08966543,0.163964,-0.21085295,-0.5796094,-0.47482833,-0.6144446,-0.19638474,-0.10821809,-0.14427598,0.3728859,-0.37892067,0.44700998,0.005314707,0.0438352,-0.20056845,0.14882469,-0.13312088,-0.34533694,0.04469375,-0.2624186,0.044518456,0.3860037,0.14834824,0.46428287,0.32186183,0.102490865,-0.23242156,-0.10802385,-0.174392,0.31952408,-0.48188242,0.09675646,-0.5716058,0.1364331,-0.42489243,0.19909064,-0.40182492,0.6526659,0.6371986,0.04184292,-0.33209535,-0.14638756,-0.41744968,0.22891623,-0.047496475,-0.030539794,-0.6708282,0.32275933,0.13807207,0.33134678,0.61453635,0.044524062,-0.044517525,0.042544305,1.1532363,0.08197862,0.7455903,-0.117603146,-0.40022114,-0.33257616,-0.25358477,0.17679907,0.64565516,-0.064061865,-0.43514523,-0.23930787
shall,-0.527589,0.23092423,-0.06940517,-0.016663756,0.024901206,-0.30145153,0.5247043,0.58987266,-0.09265723,0.3134054,-0.12095839,-0.39604872,-0.050402,0.10004422,0.051743537,0.022686066,-0.5548811,-0.24458323,-0.26452118,-0.0019769843,-0.27479976,-0.41584468,-0.009407205,-0.31235683,-0.13267702,0.15045506,-0.38764873,-0.11192167,-0.35186043,0.51706684,0.4557667,-0.31339237,0.14640503,0.00904472,0.06708933,0.17301393,0.5933713,0.19300312,0.033914786,-0.2541475,-0.3358052,-0.37267834,-0.26600412,0.506183,0.973134,-0.14371967,0.2191654,-0.31921402,0.30096227,-0.40979558,0.0453737,0.04497515,0.33886495,0.35796028,-0.35392827,-0.057653487,0.04196486,-0.065368555,-0.11999739,0.08924648,0.16469085,0.43232447,-0.27292714,-0.01774945,-0.3241475,0.1854068,0.7218559,0.3248183,0.20697509,0.73474234,0.20195742,0.051125016,0.70799536,-0.18557855,-0.078482114,0.24703272,0.45864394,-0.4034122,-0.5592936,-0.70896715,-0.24440126,-0.42827803,-0.31683704,0.35648626,-0.3664538,0.1641194,0.013396762,0.67310745,-0.40724108,-0.06846764,0.33131835,0.39183944,0.7465051,0.30181172,1.1034623,0.04093434,0.26052532,-0.10094048,0.2608416,0.1076875,-0.44068778,0.67352724,0.029379664,-0.3692106,-0.21515721,-0.36565384,0.49857566,-0.1447894,0.08981898,-0.20680517,0.13809071,-0.44826227,0.3311043,-0.43281376,0.20091784,-0.4615497,-0.17310743,-0.4133897,-0.007816212,-0.48451793,-0.30097836,0.3531722,-0.5269101,0.351052,-0.9872185,-0.15261187,0.83132905,-0.18563601,0.24023612,-0.49620858,0.29290268,-0.111983575,-0.19882914,0.19026434,-0.26524895,0.6762511,0.35982254,-0.19475953,0.13115482,-0.21409899,0.5383526,-0.41418955,-0.28790572,-0.78296345,-0.07192303,0.23623693,0.06803225,0.7325304,-0.07460922,-0.35099053,-0.08487751,-0.3678025,0.1851841,0.2673986,-0.46245092,-0.086512126,-0.75395703,0.036541753,-0.5909558,0.22421293,0.16928725,-0.10302413,0.18299799,-0.43224052,0.22961478,0.018642705,-0.18534228,-0.18073551,-0.7881444,-0.19106722,0.17321777,0.16309446,-0.060147572,-0.40269694,0.30310875,-0.047631748,-0.35732153,0.25331286,-0.08358905,0.12813097,0.29085225,-0.45634678,-0.36372763,0.12345454,0.020233998,-0.45878437,-0.24581389,-0.16811979,-0.0933455,-0.1853198,0.11071488,0.3307566,-0.064633325,-0.2283774,0.003909207,-0.069078915,0.14046268,-0.10159451,0.1953814,-0.033699352
out,0.06368779,0.21253158,0.08263957,-0.036168657,-0.13283588,-0.0648083,0.2873488,0.056038845,-0.19972621,0.041219346,0.054607294,0.0074384017,-0.21584608,0.11113829,-0.0926178,-0.041977264,0.26520824,0.030058559,-0.14327843,-0.1567919,0.13094708,0.21441184,0.35614264,0.47240666,0.3737108,0.08268376,-0.13322178,-0.0019239491,0.10381244,0.015723713,-0.16907768,0.0072987736,0.09075399,-0.1724399,0.035050727,-0.26372555,0.013129731,-0.29056358,0.0141875,-0.18784413,-0.12088934,-0.060235895,-0.11427095,0.01896459,-0.095083505,-0.29031602,-0.110599294,-0.092303164,0.04641839,-0.08846259,0.04930976,-0.062107958,-0.031612717,-0.14760318,-0.007224584,-0.22348115,0.059532795,-0.27945608,-0.009639136,0.002670148,-0.1215118,-0.04828338,-0.037516337,0.04145961,-0.20951234,0.33857,0.086623706,0.13103303,-0.07032077,0.17839934,0.031060517,-0.03849743,0.21197292,-0.07121143,-0.13387285,0.07568433,0.2143954,0.106123485,-0.12225085,-0.16436765,-0.12890811,-0.03535682,0.3118496,0.08563058,-0.23713267,-0.071206115,0.09503371,-0.24948604,-0.09541265,0.059215385,0.181602,-0.29881248,0.06540335,-0.106472656,0.185745,0.03662789,0.13228881,0.018724691,0.11143634,-0.046737637,-0.09515181,0.1663097,0.037527084,-0.1299833,-0.11883997,-0.3452767,0.046382744,0.19145706,-0.030185122,-0.37325197,0.06394742,0.2523696,-0.27081555,-0.19940537,0.15613906,0.11530672,0.26153755,-0.22686978,-0.20593652,-0.24945028,-0.06281044,0.030283896,0.33216974,-0.17287569,-0.02656276,0.3382381,-0.09668985,-0.07344235,-0.16922624,0.34859717,-0.19484642,0.048601903,-0.16609809,-0.13321358,-0.2333702,0.40477517,0.016036615,-0.27616355,-0.027715344,-0.08080248,0.4038452,-0.43979004,0.2161881,0.029656854,0.41916806,0.22314967,-0.04340503,-0.14349203,0.04795548,-0.080198936,-0.09623458,0.14628376,-0.2080312,0.3653575,-0.25701064,0.16980045,0.34697875,0.24349739,0.25987032,0.0056162425,0.6176456,0.07393639,-0.10683048,0.075475916,0.20546827,0.27482057,0.31557652,-0.106098,0.025922885,0.15728684,0.020829966,0.10457413,0.050085578,0.27743775,-0.042024836,0.48083293,-0.19822177,-0.14063881,0.059697356,-0.190804,-0.11391392,0.03361123,0.112227984,0.03165051,-0.101738065,-0.015805827,0.21272448,0.06473752,0.16248898,0.062944986,0.18686567,0.07608079,-0.21831395,-0.120347634,-0.0015268968,0.17088696,0.10583675,-0.06726386,-0.0405821,-0.009708325
must,-0.5605296,0.20311435,-0.12178678,-0.20043533,0.03201163,-0.2815092,0.45720327,0.53497255,0.090406284,0.29022008,-0.20331103,-0.3892925,0.007878721,0.0887076,-0.13856648,-0.065302595,-0.47131613,-0.14573574,0.026669266,0.07026391,-0.08222495,-0.5272673,-0.13295346,-0.2028383,-0.19739625,0.2083235,-0.28304443,-0.20158046,-0.47333676,0.383677,0.5921796,-0.24686159,0.1994624,0.009106831,0.040898025,0.15601832,0.35763785,0.17357957,-0.034159508,-0.2287349,-0.2734341,-0.41667002,-0.28549942,0.37473765,0.59988433,-0.15066674,0.21694627,-0.13799016,0.14823952,-0.20491292,0.02213938,0.24482813,0.36434984,0.22705398,-0.32160023,0.020688307,-0.10290271,-0.07618411,-0.1412456,0.03070187,0.007588571,0.24808125,-0.38403422,0.039489504,-0.16178052,0.16601574,0.7181204,0.21375939,0.22060736,0.6398626,0.23786707,0.22766696,0.64677584,-0.11383584,-0.038323462,0.110121086,0.17879908,-0.21726385,-0.22663127,-0.64370555,-0.38538086,-0.2916405,-0.36008823,0.16504037,-0.30922338,-0.036672886,0.18773271,0.53425044,-0.25389767,-0.11554947,0.21693361,0.3399756,0.5577619,0.20821258,0.9166816,0.052127786,0.20906459,0.009691655,0.076704375,0.063200936,-0.2979926,0.42674312,0.09085923,-0.3852509,-0.19324633,-0.2291564,0.41044495,-0.10769814,-0.030057805,-0.1069985,0.042072218,-0.5687993,0.14869243,-0.24457523,0.14614417,-0.24258196,-0.03674138,-0.4145556,-0.07014225,-0.4271406,-0.23801139,0.360589,-0.4616923,0.17773496,-0.8029293,-0.0033708098,0.7951453,-0.3220058,0.21842961,-0.4444074,-0.017572626,0.034329027,-0.17561597,0.1349368,-0.20143968,0.45096946,0.31631038,0.08509373,0.24660312,-0.18632719,0.45118114,-0.24335839,-0.1339505,-0.7141729,0.056870714,0.119018435,-0.17854273,0.7398227,-0.08289833,-0.26523075,0.004541671,-0.1302917,0.32292515,0.28885588,-0.48889357,-0.01554173,-0.71223044,0.038650975,-0.65230066,0.07514039,0.34015453,-0.021658275,0.15479529,-0.36120218,0.04813556,-0.12325054,-0.02130642,-0.057977334,-0.6481341,-0.2974678,0.131414,0.08990981,-0.02943734,-0.3410451,0.3390194,0.29587907,-0.23290351,0.3176906,-0.30692214,0.1681497,0.4393384,-0.37166414,-0.31773958,-0.008700176,-0.06602483,-0.33832967,-0.20205371,-0.022419656,-0.07295946,-0.026735874,0.3569263,0.3329957,-0.042881947,-0.22984657,-0.041363638,0.13239716,0.07254136,-0.18416545,0.3259408,-0.019954681
into,0.09943358,0.3065818,-0.039101996,0.16662961,-0.16463386,0.14597292,0.14268689,-0.17478815,0.04691372,-0.09588767,0.24948566,0.17474099,-0.17080767,-0.19441529,-0.0926039,0.14777398,0.3681052,-0.11716486,-0.105192035,-0.21107589,0.2179894,0.22368245,0.19960088,0.45948893,0.24356838,0.26659968,-0.030683238,-0.0967904,0.12852478,0.15258299,-0.44798395,-0.032005545,-0.025941478,-0.44456953,0.009522202,-0.36578512,-0.045867257,-0.09539247,-0.020259798,0.09961501,-0.0640589,-0.11028222,0.06897045,-0.15592603,-0.07709657,-0.0741762,-0.5520136,-0.121937536,-0.071909614,0.07820964,-0.15609553,-0.16161989,-0.44754976,-0.0732023,-0.05643804,-0.38470343,0.08955066,-0.48832098,0.0823563,-0.29096678,-0.15583614,0.030248139,0.07766914,0.0051691434,-0.120476775,0.3404041,0.034559038,0.07824479,0.016062295,-0.19187473,-0.13554996,0.07012588,0.19195333,-0.11185156,-0.01248117,-0.22635406,0.3454977,0.23276517,-0.098019145,-0.27913275,-0.07803171,0.051642068,0.39642403,-0.2431155,-0.13148344,-0.19649558,-0.023427974,-0.26511264,-0.1476573,0.10429441,-0.022682192,-0.18180573,0.066220045,-0.12568785,0.16130596,-0.042968426,0.27264938,-0.047409404,0.12197602,-0.009736482,-0.009697534,0.10123263,0.19713973,0.16390459,-0.16028531,-0.5316146,0.1724942,0.2236876,-0.27566957,-0.41951036,0.12549254,0.21414971,-0.09854158,-0.1939883,0.27262756,-0.0031210547,0.23492339,-0.50770456,-0.2901513,-0.6620285,-0.1487596,0.147112,0.38819537,-0.359666,-0.24391618,0.6924166,0.07778598,-0.008870247,-0.252581,0.55739063,-0.20491098,0.01993681,0.005461028,-0.23478734,-0.2790082,0.73672503,0.15359011,-0.44249496,-0.17392614,-0.22677332,0.5113254,-0.51888436,0.16596323,0.06906994,0.67368054,0.35802975,-0.15514024,-0.12503017,0.15957585,-0.3157759,-0.19186261,0.3986293,-0.09078818,0.16938318,-0.5171907,0.17689864,0.48652574,0.33493516,0.53430456,-0.03235929,0.6276693,-0.07959501,-0.30469045,0.2523471,0.18868218,0.30266806,0.10646313,0.13739063,-0.03340454,0.14400324,-0.1211533,0.17208098,0.15895787,0.31147823,0.019424722,0.62775075,-0.24286664,-0.12862553,-0.094246544,-0.14483242,-0.14348817,-0.010915624,0.055909246,0.20833468,0.042490378,0.0566794,0.23763703,-0.18209513,0.3542832,0.24675444,0.2646333,0.13354759,-0.17234291,0.11994186,-0.068859674,0.07022272,-0.013189785,-0.09473989,0.09087269,-0.09822206
am,0.24369517,-0.15024483,-0.27512765,0.089211166,0.3224191,-0.14726514,-0.026381453,0.675418,0.11221125,0.16311122,-0.14936523,-0.29920977,0.012199215,0.22558726,0.49893665,-0.32796478,-0.22595073,0.0991825,-0.022315297,-0.22232944,0.035992984,-0.36367488,-0.14774217,-0.07234363,-0.21347722,-0.26241103,-0.23255971,0.15386462,-0.29003578,0.029992893,0.7318243,-0.60091764,0.2840567,-0.25494707,0.05574632,0.25490034,0.82164156,0.31859818,0.04847902,-0.24508983,0.029705536,-0.068736695,-0.37471205,0.6899537,0.68133724,-0.06100947,0.25241438,-0.14686626,0.3115413,-0.19561745,0.3695811,-0.40269813,0.19990447,0.10951148,-0.18001415,0.033848878,0.07493832,0.12860972,-0.38075143,0.15825216,0.07637637,0.36592838,0.14296898,-0.20074238,-0.44821823,0.054579657,-0.019809185,0.48150662,0.08567252,0.12974897,0.2537871,-0.03849983,0.2564194,-0.32982677,0.22532481,0.38476256,0.4131528,-0.35482255,-0.84183496,0.25215232,-0.44000798,-0.19842306,-0.38591725,0.44029802,-0.16195813,0.27000988,-0.21648331,0.5872749,-0.13059296,0.14598559,0.26658088,0.8097346,0.9215612,0.80954534,0.84077597,0.22349906,0.0053842403,-0.0040117037,0.13466197,0.04201383,-0.47743076,0.72581065,0.2343713,-0.0063075954,-0.29533297,-0.14106074,0.45474252,-0.22387078,-0.09156444,-0.1602708,-0.03088873,-0.3215384,0.14672735,-0.45476186,0.03998321,-0.26181355,0.08136295,-0.033046246,0.14683601,0.07190653,-0.28764424,0.14887427,-0.31353337,0.42769215,-0.08490729,-0.21540366,0.3447753,0.106645264,0.26366326,-0.14759533,0.52677995,-0.29863706,0.13992546,-0.3785901,-0.13068406,0.0022864852,-0.15868667,-0.074774645,-0.03732672,-0.20570642,0.13646692,-0.1316767,-0.26386774,-0.17878103,-0.30749393,-0.076255634,0.20136575,0.24251159,-0.14516595,0.16570608,0.127697,-0.5404774,0.08818982,-0.103762165,-0.07621971,-0.035069957,-0.6153164,-0.19389994,-0.11629653,0.40597734,-0.4409448,0.12626001,-0.18082502,0.17122713,-0.088165276,0.048843462,-0.12410703,-0.03310422,-0.36699817,0.25356302,0.03974573,0.23247078,-0.03944956,-0.32680997,0.02995389,-0.84421986,0.069641046,0.4279009,0.42116228,0.23444237,-0.1770665,0.14797008,-0.14152828,0.30665877,-0.012857584,-0.050959215,-0.062152065,0.15361068,0.015535011,-0.021764167,0.05642847,-0.37903535,-0.21229634,-0.3876334,-0.0387085,-0.3092627,0.25162396,-0.10273243,0.101082735,0.28897953
up,0.085649446,0.14063881,0.14260823,-0.0414543,0.029702762,-0.08603956,0.069567576,-0.05683627,-0.07007656,-0.10950419,0.14209262,0.18356064,-0.15594673,-0.12698436,-0.008304977,0.064345,0.32718164,0.0539442,-0.046263754,-0.03548998,0.2329819,0.3145638,0.20678698,0.41655657,0.24087931,0.06259302,-0.25838375,0.119255535,0.1748587,-0.030049698,-0.3098745,-0.04963007,-0.07276938,-0.25819167,-0.004870098,-0.3236299,-0.27589935,-0.17197563,0.11068992,-0.06764132,-0.040638573,-0.025335928,-0.021230774,-0.17441235,-0.21392143,-0.20632166,-0.38988376,-0.122256115,-0.052724995,0.18444178,0.101190954,-0.25372535,-0.2751818,-0.26556337,0.084315,-0.018047087,0.0049551288,-0.32279372,-0.033084683,-0.21967496,-0.23805916,-0.05638337,0.1609635,0.06455103,-0.091160506,0.35166225,0.016995579,0.07031924,-0.009031056,-0.1099239,0.062133078,-0.14104967,0.16019431,-0.09265028,-0.16116524,-0.047517844,0.1501049,0.15308219,-0.21064314,0.01145059,-0.34971493,-0.028975343,0.072345026,0.3076804,-0.261777,-0.03782815,0.10585691,-0.18118155,-0.047043703,0.15570463,0.26398352,-0.33369645,0.21478054,-0.102505185,0.052004892,0.023980068,0.05722022,-0.024047535,0.06870482,-0.044146106,-0.11162333,0.12939723,0.20741177,-0.06600246,-0.31408882,-0.43010345,0.029817821,0.17517395,-0.20872034,-0.4281939,0.023015935,0.33453315,-0.13997148,-0.3149445,0.26024738,0.049661778,0.26632115,-0.39868477,-0.15892407,-0.40670985,0.036316905,0.014178697,0.4005459,-0.3073369,0.038638204,0.34847942,-0.1514491,-0.007767759,-0.26303494,0.31441364,-0.26702532,0.1578207,0.022393465,-0.092993766,-0.10668475,0.3289316,-0.21780403,-0.39394096,-0.22908534,-0.13543087,0.48708498,-0.51216733,0.18966998,0.11181832,0.45833534,0.1434045,-0.22021791,-0.28611884,0.044649206,0.09133301,-0.22495729,0.29670078,-0.37515628,0.22406141,-0.34488437,0.19794896,0.38792136,0.188365,0.31408903,-0.09667746,0.52861404,0.0064050476,-0.23246935,0.12552777,0.18010259,0.2891559,0.35585728,-0.18692294,0.022470813,0.21047217,-0.036473136,0.1805927,-0.0025943911,0.2112551,-0.09102931,0.32799795,-0.0064930287,-0.21633147,0.1721543,-0.02132475,-0.20541309,0.23244977,-0.0018230621,0.15070406,-0.08513596,0.031247377,0.23351702,0.07683989,0.15560305,0.156146,0.22633801,-0.04731165,-0.23719881,-0.05551419,-0.061205395,0.19293663,0.07595429,-0.1365562,0.031495243,-0.1625552
can,-0.44180527,0.03792385,-0.0549491,-0.04343236,0.18890423,-0.3832472,0.33148956,0.6194554,-0.01780584,0.22419733,-0.1377324,-0.42144203,-0.1334568,0.094540626,0.11548569,-0.06864621,-0.75462407,-0.22837783,-0.28541896,-0.14458206,-0.39536414,-0.41701752,-0.056996915,-0.22244607,-0.18895596,0.15530975,-0.1304499,-0.063567795,-0.3956759,0.45873168,0.46058628,-0.3158427,0.35659885,-0.062912226,0.18484294,0.26947245,0.73007256,0.22326379,0.052763112,-0.1581755,-0.30164507,-0.30677462,-0.21292141,0.44214472,0.87388444,-0.17117833,0.3417585,-0.1735262,0.40734252,-0.33911103,0.016353134,0.058208972,0.23175667,0.37320566,-0.20928681,0.05374111,0.020931019,0.05515996,-0.14969003,0.3321999,-0.049626086,0.35996264,-0.23235537,-0.13483027,-0.28181043,-0.00020549199,0.46292067,0.4435461,0.1145881,0.7660037,0.120632485,0.18879753,0.48751736,-0.020020796,0.21279168,0.22920321,0.4182179,-0.47951046,-0.4779206,-0.43952644,-0.25394973,-0.35146058,-0.44359627,0.29047215,-0.23344952,0.19306716,0.0011096272,0.76473904,-0.16165452,0.06539635,0.08291585,0.7095773,0.97523147,0.67283595,1.1398343,0.2374767,0.24234517,0.06024492,0.1729647,0.034701187,-0.36638132,0.7228209,0.036004666,-0.3420495,-0.18940449,-0.25431415,0.44982627,-0.13770111,0.0429783,-0.08118981,-0.0697489,-0.5558946,0.3611603,-0.22638139,0.058079023,-0.43942127,-0.075801514,-0.3409897,0.09247748,-0.3312787,-0.2711372,0.2968796,-0.57274115,0.14790747,-0.58989763,-0.25873482,0.61327696,-0.071935914,0.279784,-0.47707197,0.3795145,-0.21559237,-0.112013005,-0.08856228,-0.19211966,0.3117398,0.18853083,0.0134201255,0.11990465,-0.26113766,0.30068487,-0.24625356,-0.153228,-0.6498683,-0.3108118,-0.016176997,0.14667077,0.6688639,-0.19860204,-0.23405336,0.093562305,-0.34162164,0.29541034,0.25885272,-0.48139548,-0.0955396,-0.9086832,-0.06811198,-0.5524229,0.14497906,0.17593393,0.08295697,0.15113938,-0.18206204,0.12623279,0.010811904,-0.11605464,-0.013480861,-0.5861823,-0.14765568,0.15619753,0.07849497,-0.045229577,-0.33302352,0.4339378,-0.10669376,-0.37085947,0.5066641,-0.007012749,0.21786875,0.28673977,-0.3516964,-0.37083218,0.026995992,0.071342476,-0.21830393,0.052031927,-0.06613858,0.03645309,-0.13142504,0.17936008,0.15824232,-0.06126409,-0.40346065,-0.22933449,-0.21640202,0.24052165,-0.109829806,0.2714346,0.04803137
