topic_id,top_terms,doc_weight_sum,term_freq
T00,ghost box opera richard head,3.0002601368296644,0.010518345312836193
T01,persian raoul sir christine daae,1.005069092333528,0.0038069008090945472
T02,heard door shall lord sister,2.8386405247436506,0.024760546541877735
T03,forest cottage light wood branches,2.5424090812923055,0.012702872192280239
T04,richard moncharmin ghost giry box,5.207284960125007,0.024490639118194678
T05,john old dying uncle kitchen,1.0798050469280307,0.010606868867061074
T06,house doctor door mrs hill,14.68243866682664,0.12672749921784637
T07,christine raoul erik voice persian,13.335766098561328,0.07116852942574221
T08,old family house saw room,1.005736759561357,0.005622077148073131
T09,sir lord shall father son,6.876757202278047,0.12763553987060536
T10,flat thrust arrested stretch earlier,0.006829655642345009,0.000840892208866149
T11,thou thy thee princess father,3.645627743007032,0.036741984187797665
T12,shall van helsing lucy come,14.539635578823429,0.13225002102428698
T13,father day old years read,4.576049247932116,0.018797566810188585
T14,father life moment god felt,12.360343225388519,0.10983269566401772
T15,stranger appeared delight old feelings,1.0051794907042528,0.004005680926937288
T16,elizabeth shall miserable feelings clerval,7.609255493084903,0.03825472990010268
T17,madame emily valancourt aunt niece,2.2336921754113566,0.02322009738746902
T18,st aubert emily valancourt till,10.82223097721172,0.09420456784742505
T19,door room night came mr,16.626988843314763,0.12381194553929724
