era,book_id,chap_num,doc_str
classical/romantic gothic,6087,1,from geneva i breathe freely in the neighbourhood of this lake the ground upon which i tread has been subdued from the earliest ages the principal objects which immediately strike my eye bring to my recollection scenes in which man acted the hero and was the chief object of interest not to look back to earlier times of battles and sieges here is the bust of rousseau here is a house with an inscription denoting that the genevan philosopher first drew breath under its roof a little out of the town is ferney the residence of voltaire where that wonderful though certainly in many respects contemptible character received like the hermits of old the visits of pilgrims not only from his own nation but from the farthest boundaries of europe here too is bonnet s abode and a few steps beyond the house of that astonishing woman madame de stael perhaps the first of her sex who has really proved its often claimed equality with the nobler man we have before had women who have written interesting novels and poems in which their tact at observing drawing room characters has availed them but never since the days of heloise have those faculties which are peculiar to man been developed as the possible inheritance of woman though even here as in the case of heloise our sex have not been backward in alledging the existence of an abeilard in the person of m schlegel as the inspirer of her works but to proceed upon the same side of the lake gibbon bonnivard bradshaw and others mark as it were the stages for our progress whilst upon the other side there is one house built by diodati the friend of milton which has contained within its walls for several months that poet whom we have so often read together and who if human passions remain the same and human feelings like chords on being swept by nature s impulses shall vibrate as before will be placed by posterity in the first rank of our english poets you must have heard or the third canto of childe harold will have informed you that lord byron resided many months in this neighbourhood i went with some friends a few days ago after having seen ferney to view this mansion i trod the floors with the same feelings of awe and respect as we did together those of shakespeare s dwelling at stratford i sat down in a chair of the saloon and satisfied myself that i was resting on what he had made his constant seat i found a servant there who had lived with him she however gave me but little information she pointed out his bed chamber upon the same level as the saloon and dining room and informed me that he retired to rest at three got up at two and employed himself a long time over his toilette that he never went to sleep without a pair of pistols and a dagger by his side and that he never ate animal food he apparently spent some part of every day upon the lake in an english boat there is a balcony from the saloon which looks upon the lake and the mountain jura and i imagine that it must have been hence he contemplated the storm so magnificently described in the third canto for you have from here a most extensive view of all the points he has therein depicted i can fancy him like the scathed pine whilst all around was sunk to repose still waking to observe what gave but a weak image of the storms which had desolated his own breast the sky is changed and such a change oh night and storm and darkness ye are wond rous strong yet lovely in your strength as is the light of a dark eye in woman far along from peak to peak the rattling crags among leaps the lire thunder not from one lone cloud but every mountain now hath found a tongue and jura answers thro her misty shroud back to the joyous alps who call to her aloud and this is in the night most glorious night thou wer t not sent for slumber let me be a sharer in thy far and fierce delight a portion of the tempest and of me how the lit lake shines a phosphoric sea and the big rain comet dancing to the earth and now again tis black and now the glee of the loud hills shakes with its mountain mirth as if they did rejoice o er a young earthquake s birth now where the swift rhine cleaves his way between heights which appear as lovers who have parted in haste whose mining depths so intervene that they can meet no more tho broken hearted tho in their souls which thus each other thwarted love was the very root of the fond rage which blighted their life s bloom and then departed itself expired but leaving them an age of years all winter war within themselves to wage i went down to the little port if i may use the expression wherein his vessel used to lay and conversed with the cottager who had the care of it you may smile but i have my pleasure in thus helping my personification of the individual i admire by attaining to the knowledge of those circumstances which were daily around him i have made numerous enquiries in the town concerning him but can learn nothing he only went into society there once when m pictet took him to the house of a lady to spend the evening they say he is a very singular man and seem to think him very uncivil amongst other things they relate that having invited m pictet and bonstetten to dinner he went on the lake to chillon leaving a gentleman who travelled with him to receive them and make his apologies another evening being invited to the house of lady d h he promised to attend but upon approaching the windows of her ladyship s villa and perceiving the room to be full of company he set down his friend desiring him to plead his excuse and immediately returned home this will serve as a contradiction to the report which you tell me is current in england of his having been avoided by his countrymen on the continent the case happens to be directly the reverse as he has been generally sought by them though on most occasions apparently without success it is said indeed that upon paying his first visit at coppet following the servant who had announced his name he was surprised to meet a lady carried out fainting but before he had been seated many minutes the same lady who had been so affected at the sound of his name returned and conversed with him a considerable time such is female curiosity and affectation he visited coppet frequently and of course associated there with several of his countrymen who evinced no reluctance to meet him whom his enemies alone would represent as an outcast though i have been so unsuccessful in this town i have been more fortunate in my enquiries elsewhere there is a society three or four miles from geneva the centre of which is the countess of breuss a russian lady well acquainted with the agremens de la societe and who has collected them round herself at her mansion it was chiefly here i find that the gentleman who travelled with lord byron as physician sought for society he used almost every day to cross the lake by himself in one of their flat bottomed boats and return after passing the evening with his friends about eleven or twelve at night often whilst the storms were raging in the circling summits of the mountains around as he became intimate from long acquaintance with several of the families in this neighbourhood i have gathered from their accounts some excellent traits of his lordship s character which i will relate to you at some future opportunity i must however free him from one imputation attached to him of having in his house two sisters as the partakers of his revels this is like many other charges which have been brought against his lordship entirely destitute of truth his only companion was the physician i have already mentioned the report originated from the following circumstance mr percy bysshe shelly a gentleman well known for extravagance of doctrine and for his daring in their profession even to sign himself with the title of atheos in the album at chamouny having taken a house below in which he resided with miss m w godwin and miss clermont the daughters of the celebrated mr godwin they were frequently visitors at diodati and were often seen upon the lake with his lordship which gave rise to the report the truth of which is here positively denied among other things which the lady from whom i procured these anecdotes related to me she mentioned the outline of a ghost story by lord byron it appears that one evening lord b mr p b shelly the two ladies and the gentleman before alluded to after having perused a german work which was entitled phantasmagoriana began relating ghost stories when his lordship having recited the beginning of christabel then unpublished the whole took so strong a hold of mr shelly s mind that he suddenly started up and ran out of the room the physician and lord byron followed and discovered him leaning against a mantle piece with cold drops of perspiration trickling down his face after having given him something to refresh him upon enquiring into the cause of his alarm they found that his wild imagination having pictured to him the bosom of one of the ladies with eyes which was reported of a lady in the neighbourhood where he lived he was obliged to leave the room in order to destroy the impression it was afterwards proposed in the course of conversation that each of the company present should write a tale depending upon some supernatural agency which was undertaken by lord b the physician and miss m w godwin1 my friend the lady above referred to had in her possession the outline of each of these stories i obtained them as a great favour and herewith forward them to you as i was assured you would feel as much curiosity as myself to peruse the ebauches of so great a genius and those immediately under his influence 1 since published under the title of frankenstein or the modern prometheus
classical/romantic gothic,6087,3,the superstition upon which this tale is founded is very general in the east among the arabians it appears to be common it did not however extend itself to the greeks until after the establishment of christianity and it has only assumed its present form since the division of the latin and greek churches at which time the idea becoming prevalent that a latin body could not corrupt if buried in their territory it gradually increased and formed the subject of many wonderful stories still extant of the dead rising from their graves and feeding upon the blood of the young and beautiful in the west it spread with some slight variation all over hungary poland austria and lorraine where the belief existed that vampyres nightly imbibed a certain portion of the blood of their victims who became emaciated lost their strength and speedily died of consumptions whilst these human blood suckers fattened and their veins became distended to such a state of repletion as to cause the blood to flow from all the passages of their bodies and even from the very pores of their skins in the london journal of march 1732 is a curious and of course credible account of a particular case of vampyrism which is stated to have occurred at madreyga in hungary it appears that upon an examination of the commander in chief and magistrates of the place they positively and unanimously affirmed that about five years before a certain heyduke named arnold paul had been heard to say that at cassovia on the frontiers of the turkish servia he had been tormented by a vampyre but had found a way to rid himself of the evil by eating some of the earth out of the vampyre s grave and rubbing himself with his blood this precaution however did not prevent him from becoming a vampyre2 himself for about twenty or thirty days after his death and burial many persons complained of having been tormented by him and a deposition was made that four persons had been deprived of life by his attacks to prevent further mischief the inhabitants having consulted their hadagni 3 took up the body and found it as is supposed to be usual in cases of vampyrism fresh and entirely free from corruption and emitting at the mouth nose and ears pure and florid blood proof having been thus obtained they resorted to the accustomed remedy a stake was driven entirely through the heart and body of arnold paul at which he is reported to have cried out as dreadfully as if he had been alive this done they cut off his head burned his body and threw the ashes into his grave the same measures were adopted with the corses of those persons who had previously died from vampyrism lest they should in their turn become agents upon others who survived them 2 the universal belief is that a person sucked by a vampyre becomes a vampyre himself and sucks in his turn 3 chief bailiff this monstrous rodomontade is here related because it seems better adapted to illustrate the subject of the present observations than any other instance which could be adduced in many parts of greece it is considered as a sort of punishment after death for some heinous crime committed whilst in existence that the deceased is not only doomed to vampyrise but compelled to confine his infernal visitations solely to those beings he loved most while upon earth those to whom he was bound by ties of kindred and affection a supposition alluded to in the giaour but first on earth as vampyre sent thy corse shall from its tomb be rent then ghastly haunt the native place and suck the blood of all thy race there from thy daughter sister wife at midnight drain the stream of life yet loathe the banquet which perforce must feed thy livid living corse thy victims ere they yet expire shall know the demon for their sire as cursing thee thou cursing them thy flowers are withered on the stem but one that for thy crime must fall the youngest best beloved of all shall bless thee with a father s name that word shall wrap thy heart in flame yet thou must end thy task and mark her cheek s last tinge her eye s last spark and the last glassy glance must view which freezes o er its lifeless blue then with unhallowed hand shall tear the tresses of her yellow hair of which in life a lock when shorn affection s fondest pledge was worn but now is borne away by thee memorial of thine agony yet with thine own best blood shall drip thy gnashing tooth and haggard lip then stalking to thy sullen grave go and with gouls and afrits rave till these in horror shrink away from spectre more accursed than they mr southey has also introduced in his wild but beautiful poem of thalaba the vampyre corse of the arabian maid oneiza who is represented as having returned from the grave for the purpose of tormenting him she best loved whilst in existence but this cannot be supposed to have resulted from the sinfulness of her life she being pourtrayed throughout the whole of the tale as a complete type of purity and innocence the veracious tournefort gives a long account in his travels of several astonishing cases of vampyrism to which he pretends to have been an eyewitness and calmet in his great work upon this subject besides a variety of anecdotes and traditionary narratives illustrative of its effects has put forth some learned dissertations tending to prove it to be a classical as well as barbarian error many curious and interesting notices on this singularly horrible superstition might be added though the present may suffice for the limits of a note necessarily devoted to explanation and which may now be concluded by merely remarking that though the term vampyre is the one in most general acceptation there are several others synonymous with it made use of in various parts of the world as vroucolocha vardoulacha goul broucoloka c
